Thuật toán,CV Acc (mean),Test Accuracy,F1-Score (Macro),ROC AUC (OVR)
Bagging,0.9050574712643679,0.9365079365079365,0.934938120495036,0.9901738473167044
Gradient Boosting,0.9119540229885057,0.9206349206349206,0.9198078344419809,0.9784580498866212
MLP (NN),0.9521839080459771,0.8888888888888888,0.8862026862026863,0.9727891156462585
Logistic Reg,0.9524137931034483,0.8571428571428571,0.8542938542938542,0.9856386999244142
AdaBoost,0.9055172413793103,0.8412698412698413,0.8376811594202899,0.9682539682539683
